               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.024029,           0.0070825,            0.011718,             0.87425,              0.8842,             0.92654,             0.70178,            0.016394,           0.0035361,            0.012764,           0.0082675,           0.0082675,           0.0082675
                  37,            0.023894,           0.0069177,            0.013506,             0.86148,             0.88814,             0.92743,             0.67144,            0.017582,           0.0036203,            0.011533,            0.008218,            0.008218,            0.008218
                  38,            0.023954,           0.0069686,            0.011218,             0.88346,             0.88785,             0.92375,             0.70145,            0.015855,             0.00353,            0.011481,           0.0081685,           0.0081685,           0.0081685
                  39,             0.02362,           0.0067658,            0.012227,             0.87476,             0.94062,             0.96904,             0.72193,            0.016135,           0.0034893,           0.0084612,            0.008119,            0.008119,            0.008119
                  40,            0.023131,           0.0068053,            0.011786,             0.89028,             0.86367,             0.92464,             0.71685,             0.01528,           0.0034415,             0.01121,           0.0080695,           0.0080695,           0.0080695
                  41,            0.023096,           0.0067162,            0.011327,              0.8887,               0.887,             0.92273,             0.69095,            0.016226,           0.0035547,             0.01166,             0.00802,             0.00802,             0.00802
                  42,            0.023127,           0.0067482,            0.011478,             0.85069,             0.92143,             0.94874,             0.71112,            0.016285,           0.0036148,            0.010271,           0.0079705,           0.0079705,           0.0079705
                  43,            0.022717,            0.006908,            0.010352,             0.89663,             0.88479,             0.93299,             0.70953,            0.016001,           0.0035492,            0.010338,            0.007921,            0.007921,            0.007921
                  44,            0.023199,           0.0066124,            0.010734,             0.88868,             0.87588,             0.91693,             0.69374,            0.016079,           0.0035382,            0.013762,           0.0078715,           0.0078715,           0.0078715
                  45,            0.023045,           0.0068132,            0.010732,             0.89577,             0.86922,             0.92789,             0.70744,             0.01615,           0.0034956,           0.0096826,            0.007822,            0.007822,            0.007822
                  46,            0.022654,           0.0065928,           0.0095435,             0.84754,             0.95034,             0.94228,             0.70496,             0.01551,           0.0034952,           0.0093227,           0.0077725,           0.0077725,           0.0077725
                  47,            0.022713,           0.0067542,            0.010685,             0.89454,             0.87025,             0.93776,             0.70508,            0.015954,           0.0036358,            0.012541,            0.007723,            0.007723,            0.007723
                  48,            0.022752,           0.0065078,            0.010396,             0.86403,             0.90345,             0.92887,             0.69362,            0.016131,           0.0036032,            0.012191,           0.0076735,           0.0076735,           0.0076735
                  49,            0.022601,           0.0064926,           0.0099391,             0.88022,             0.91034,             0.94129,             0.71455,             0.01522,           0.0034947,           0.0084666,            0.007624,            0.007624,            0.007624
                  50,            0.022501,           0.0067022,           0.0097104,             0.85467,             0.86524,             0.91402,             0.69517,              0.0156,           0.0035677,             0.01139,           0.0075745,           0.0075745,           0.0075745
                  51,            0.022508,           0.0066466,           0.0092737,             0.83905,             0.92655,             0.92426,             0.69154,            0.015953,           0.0036477,              0.0107,            0.007525,            0.007525,            0.007525
                  52,            0.022701,           0.0066762,             0.01014,             0.88664,             0.91029,              0.9247,             0.69722,             0.01521,           0.0035542,            0.010177,           0.0074755,           0.0074755,           0.0074755
                  53,            0.022464,           0.0065306,           0.0099923,             0.83373,              0.9466,             0.95485,             0.71704,            0.015881,           0.0036031,           0.0080736,            0.007426,            0.007426,            0.007426
                  54,            0.021947,            0.006388,           0.0095486,             0.89461,             0.86686,             0.92275,             0.70859,            0.015413,           0.0035715,            0.010968,           0.0073765,           0.0073765,           0.0073765
                  55,            0.022118,           0.0065814,           0.0095884,             0.89418,             0.91655,             0.95197,             0.71853,            0.014949,           0.0034698,           0.0079291,            0.007327,            0.007327,            0.007327
                  56,            0.021626,           0.0065718,           0.0089004,             0.90038,             0.90105,             0.94785,             0.72414,            0.014955,           0.0034887,           0.0089517,           0.0072775,           0.0072775,           0.0072775
                  57,             0.02211,           0.0066308,           0.0094036,             0.90352,             0.90951,              0.9558,             0.73782,            0.014988,           0.0034773,           0.0075689,            0.007228,            0.007228,            0.007228
                  58,            0.022097,           0.0064322,           0.0082722,             0.91417,             0.90657,             0.93953,             0.72325,            0.015028,           0.0035306,            0.008785,           0.0071785,           0.0071785,           0.0071785
                  59,            0.021813,           0.0065956,           0.0089104,             0.84721,              0.9199,             0.94295,             0.71376,            0.015471,             0.00353,           0.0077907,            0.007129,            0.007129,            0.007129
                  60,            0.021379,           0.0066046,           0.0085794,              0.8767,             0.93209,             0.94602,             0.72213,            0.014906,           0.0034586,           0.0085411,           0.0070795,           0.0070795,           0.0070795
                  61,            0.021857,           0.0064273,           0.0089792,             0.85994,             0.89594,             0.93241,             0.71865,             0.01499,           0.0035325,            0.010729,             0.00703,             0.00703,             0.00703
                  62,            0.021514,           0.0063112,           0.0081727,             0.90673,             0.90536,             0.94604,               0.733,            0.014766,             0.00338,           0.0093161,           0.0069805,           0.0069805,           0.0069805
                  63,            0.021491,            0.006185,           0.0080358,             0.86515,             0.91206,             0.93148,              0.7163,            0.014509,           0.0035265,            0.009636,            0.006931,            0.006931,            0.006931
                  64,            0.021394,           0.0064919,           0.0074371,             0.92579,             0.91345,             0.96208,             0.74008,            0.014755,           0.0034162,           0.0077867,           0.0068815,           0.0068815,           0.0068815
                  65,            0.021153,           0.0063026,           0.0077739,             0.89585,             0.92018,             0.95469,             0.72999,            0.014833,           0.0034918,           0.0076203,            0.006832,            0.006832,            0.006832
