               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12204,            0.091906,            0.047558,          0.00056076,             0.18935,          0.00046433,          9.2725e-05,            0.093785,            0.074695,            0.036375,             0.07015,           0.0033167,           0.0033167
                   1,             0.11935,            0.084406,            0.047516,           0.0039844,            0.044763,            0.001969,          0.00042576,            0.088022,            0.070692,            0.039188,            0.040128,           0.0066281,           0.0066281
                   2,             0.11389,            0.079106,            0.046136,          0.00031062,            0.075375,          0.00017118,          4.3908e-05,                 nan,                 nan,             0.11649,            0.010084,           0.0099174,           0.0099174
                   3,             0.10985,            0.070401,            0.044187,           0.0075091,             0.11542,           0.0068421,           0.0014786,            0.085079,            0.050367,            0.042403,            0.009901,            0.009901,            0.009901
                   4,            0.098291,            0.062537,            0.043551,             0.34399,             0.16962,            0.074983,            0.019196,            0.065513,            0.028099,            0.037111,            0.009901,            0.009901,            0.009901
                   5,            0.083392,            0.050872,            0.042393,             0.31231,             0.40845,             0.11181,             0.02855,            0.054993,            0.024581,            0.034744,            0.009868,            0.009868,            0.009868
                   6,            0.069815,            0.043579,            0.041709,             0.16427,             0.85358,             0.24765,            0.097662,            0.040411,            0.019145,            0.034231,            0.009835,            0.009835,            0.009835
                   7,            0.061694,            0.039579,            0.041328,             0.19497,             0.77628,             0.31951,             0.16009,             0.03772,            0.017498,            0.033484,            0.009802,            0.009802,            0.009802
                   8,            0.054735,            0.038435,            0.040863,             0.27787,             0.92347,             0.40939,             0.20591,            0.030919,            0.015936,            0.033487,            0.009769,            0.009769,            0.009769
                   9,            0.050749,            0.035443,             0.04025,             0.39119,             0.81769,             0.45275,             0.22626,            0.030076,            0.016175,            0.032435,            0.009736,            0.009736,            0.009736
                  10,            0.047103,            0.033152,            0.039412,             0.33343,             0.85302,             0.43156,             0.22139,            0.027002,            0.015016,            0.031724,            0.009703,            0.009703,            0.009703
                  11,            0.045831,              0.0325,            0.039143,             0.34244,             0.80689,             0.47982,             0.26711,            0.026767,              0.0142,            0.030584,             0.00967,             0.00967,             0.00967
                  12,            0.044805,            0.031323,            0.038325,             0.37054,             0.91312,             0.47628,             0.27281,            0.022654,            0.013601,            0.029908,            0.009637,            0.009637,            0.009637
                  13,            0.043015,            0.031871,            0.037507,             0.36308,             0.88853,             0.52052,             0.32402,            0.024266,            0.013236,            0.029279,            0.009604,            0.009604,            0.009604
                  14,            0.042216,            0.030847,            0.036605,             0.39676,             0.89463,              0.5089,             0.30225,             0.02398,            0.013286,            0.028363,            0.009571,            0.009571,            0.009571
                  15,            0.041784,            0.030026,            0.036291,             0.37978,              0.8687,             0.52817,             0.32635,            0.025203,            0.013913,            0.027871,            0.009538,            0.009538,            0.009538
